회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
컨텍,2023-11-09,코스닥,기술평가특례,기술특례,대신증권(주),IT/소프트웨어,22500,463.5,3168.47,198.93,1.24,-31.1,-13.2,-55.4,"3차 기업실사 1. 장소: 주식회사 컨텍 회의실 2. 참석자: 신청회사, 대표주관회사 3. 내용 1) 상장예비심사신청을 위한 기술평가 등급수령(한국발명진흥회, 한국기업데이터) 2) 사업계획에 따른 영업 진행 현황 검"
그린리소스,2023-11-24,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),반도체/디스플레이,17000,278.8,2788.0,753.19,5.39,96.8,63.5,-22.6,"일의 업체로서, 세계 식각 장비 부품 코팅 시장에서 세계 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨 이크레더블 BBB 동사는 도장 및 기타 피막처리업을 영위하는"
에이텀,2023-12-01,코스닥,기술평가특례,기술특례,하나증권주식회사,기타,18000,117.0,1293.49,136.4,0.43,-1.9,-21.8,-67.4,"매출 성장에 큰 효과가 있을 것으로 판단됨. 상술한 바와 같이, 동사의 기술적 차별성과 경쟁력, 시장현황을 종합하여, 동사의 기술평가등급을 A 등급(높은 수준의 기술력을 가진 기업)으로 평가함. [전문평가의 평가등급"
와이바이오로직스,2023-12-05,코스닥,기술평가특례,기술특례,유안타증권(주),바이오/헬스케어,9000,135.0,1441.12,226.9,14.47,68.9,-2.2,-11.7,당사는「코스닥시장 상장규정」 제30조제1항에서 정하는 기술성장기업으로서 면제 대상에 해당합니다
블루엠텍,2023-12-13,코스닥,이익미실현,이익미실현,"키움증권(주),하나증권주식회사",소비재/유통,19000,266.0,2660.0,582.24,0.02,23.2,-30.5,-35.2,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
케이웨더,2024-02-22,코스닥,성장성/사업모델,기술특례,엔에이치투자증권(주),기계/장비,7000,70.0,704.66,1362.5,3.93,32.4,-40.0,-54.8,"준으로 판단되며, 경영역량과 개발역량을 감안 시 동사의 자원인프라도 상당 히 양호한 수준으로 평가됨. 이에 따라 동사의 최종 사업평가등급은 우수한 사업성을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있"
코셈,2024-02-23,코스닥,기술평가특례,기술특례,키움증권(주),기계/장비,16000,96.0,933.12,1267.6,10.04,45.9,-46.3,-56.8,"당사는 기술성장기업(기술 특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 5개 사업연도, 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후"
이에이트,2024-02-23,코스닥,기술평가특례,기술특례,한화투자증권(주),IT/소프트웨어,20000,226.0,2260.0,630.64,2.35,7.2,-26.5,-77.0,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도("
케이엔알시스템,2024-03-07,코스닥,기술평가특례,기술특례,"엔에이치투자증권(주),DB증권주식회사",기계/장비,13500,284.04,1561.79,873.2,31.86,72.6,-39.0,-31.1,년 온기 실적 검토 2) 적정주식수 확보를 위한 액면분할 실시 기업실사 10차 2023.03.21 ~2023.03.22 1) 기술평가등급 수령에 따른 상장예비심사신청 초도 미팅 기업실사 11차 2023.05.10 1
삼현,2024-03-21,코스닥,기술평가특례,기술특례,한국투자증권(주),자동차/모빌리티,30000,600.0,2117.17,649.11,10.64,16.2,-26.2,16.7,", 한국기술신용평가로부터 ""스마트 액추에이터 및 스마트 파워유닛 설계 제조 기술""에 대해 평가받았으며, 각각 A, A 등급의 기술평가 등급을 통보 받았습니다. 그러나 이러한 전문기관의 기술평가 결과가 회사의 성장성과"
아이엠비디엑스,2024-04-03,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,바이오/헬스케어,13000,325.0,1858.98,865.73,4.5,30.3,34.8,-27.2,"7차 기업실사 2023.05.10. - 기술평가 신청(SCI평가정보, 한국평가데이터) 8차 기업실사 2023.06.23. - 기술평가 등급 수령(SCI평가정보: A, 한국평가데이터: A) 9차 기업실사 2023.06"
디앤디파마텍,2024-05-02,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,33000,363.0,3639.86,848.5,10.96,-13.6,32.3,80.3,"전문평가 기관의 평가를 받아 기술력과 성장성을 인정받는 일련의 절차와는 무관하며, 나아가 금번 전문평가기관의 의견이 기존의 기술평가 등급이 유효하지 않다는 것을 의미하거나 해당 기관의 기존 의견을 소급하는 것 또한 "
민테크,2024-05-03,코스닥,기술평가특례,기술특례,KB증권(주),2차전지/에너지,10500,315.0,3150.0,946.72,4.23,-18.4,-41.4,-60.5,"당사는 「코스닥시장 상장규정」제30조제1항에 의하여 상장되는 기술성장기업으로 동 규정 제53조(관리종목) 제1항제1호 및 제2호, 제54조(상장의 폐지) 제1항제3호 및 제4호에 따라 관리종목 지정과 상장폐지 요건 "
아이씨티케이,2024-05-17,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),반도체/디스플레이,20000,394.0,2744.7,783.2,6.54,-39.1,-68.6,-22.8,"당사는 기술성장기업으로 동 규정 제53조(관리종목) 제1항 제1호 및 제2호, 제54조(상장의 폐지) 제1항 제3호 및 제4호 에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 "
라메디텍,2024-06-17,코스닥,기술평가특례,기술특례,대신증권(주),바이오/헬스케어,16000,207.68,1447.28,1115.44,9.93,2.4,-49.4,-49.8,": 김경순 본부장 , 김정헌 팀장 , 정창언 책임 , 박경근 책임 , 이진욱 선임 3. 내용 (1) 상장예비심사신청을 위한 기술평가 등급수령 (이크레더블 , 한국기술신용평가 ) (2) DD 체크리스트 작성 및 수정 "
씨어스테크놀로지,2024-06-19,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,17000,221.0,2187.2,1084.39,2.06,-24.5,-41.5,19.1,"/ 서비스의 사업화 수준 , 제품 / 서비스의 경쟁력을 감안 시 시장성은 양호한 수준으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 수"
한중엔시에스,2024-06-24,코스닥,기술평가특례,기술특례,,2차전지/에너지,30000,480.0,2725.5,725.94,12.44,31.7,-25.8,-15.7,"제품 / 서비스의 사업화 수준 , 제품 / 서비스의 경쟁력을 감안시 시장성은 보통 수준으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업과 동등하고 기술환경변화에 보통 이상의 영향을 받을 수 있는"
에스오에스랩,2024-06-25,코스닥,기술평가특례,기술특례,한국투자증권(주),자동차/모빌리티,11500,230.0,2069.08,1072.3,4.19,-33.0,5.7,24.4,"제품 / 서비스의 사업화 수준 , 제품 / 서비스의 경쟁력을 감안하면 보통 이상 수준으로 평가됨 . 이에 따라 동사의 최 종 기술평가등급은 기술력이 동종기업 대비 높고 , 기술환경변화에 제한적으로 영향을 받을 수 있"
에이치브이엠,2024-06-28,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),화학/소재,18000,432.0,2210.11,837.2,0.0,-38.1,22.5,50.3,"당사는 기술성장기업(기술 특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 5개 사업연도, 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후"
이노스페이스,2024-07-02,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,방산/우주항공,43300,575.89,4122.19,598.87,1.99,-44.6,-61.7,-61.5,"평가 - 기술관련 예비심사 전략 수립 2) 상장예비심사 신청서 작성 안내 9차 기업실사 2023.10.13 이노스페이스 본사 기술평가 등급 수령(평가기관 2곳 각각 A,A수령) 10차 기업실사 2023.10.16. "
하스,2024-07-03,코스닥,기술평가특례,기술특례,삼성증권(주),바이오/헬스케어,16000,289.6,1340.26,946.4,6.36,-21.5,-56.6,-48.9,"SCI 평가정보 로부터 ""리튬 디실리케이트 결정화 유리 소재 미세구조 제어기술""에 대해 평가받았으며, 각각 A, A 등급의 기술평가 등급을 통보받았습니다. 그러나 이러한 전문기관의 기술평가 결과가 회사의 성장성과 향"
엑셀세라퓨틱스,2024-07-15,코스닥,기술평가특례,기술특례,대신증권(주),바이오/헬스케어,10000,161.8,1137.16,1233.8,4.5,-38.0,-54.8,-68.7,기술력이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 수준이며 미래성장 가능성이 높은 기업으로 판단되어 기술평가등급 ‘A’를 제시한다 . B 사 BBB 평가대상기술은 세포유전자 치료제의 필수소재
피앤에스미캐닉스,2024-07-31,코스닥,기술평가특례,기술특례,키움증권(주),바이오/헬스케어,22000,297.0,1423.78,986.08,5.6,-38.9,-35.5,-40.9,"평가정보, 한국발명진흥회로부터 보행재활훈련 로봇시스템 관련 5가지 핵심기술에 대한 기술성 평가받았으며, 각각 A, A 등급의 기술평가 등급을 통보받았습니다. 그러나 이러한 전문기관의 기술평가 결과가 회사의 성장성과 "
아이빔테크놀로지,2024-08-06,코스닥,기술평가특례,기술특례,삼성증권(주),기계/장비,10000,223.4,1574.94,1011.5,0.49,-17.4,-51.4,-67.4,"를 신청하였으며, 평가기관으로 한국발명진흥회와 기술보증기금을 지정받았습니다. 이후 2023년 8월 9일 동 기관들로부터 각각 기술평가등급 A등급 및 BBB등급을 취득하여 상장예비심사를 신청하였습니다. [ 전문평가기관"
넥스트바이오메디컬,2024-08-20,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,29000,290.0,2390.09,356.95,2.18,37.2,82.4,89.7,력이 동종기업 대비 높고 기술환경변화에 제한 적으로 영향을 받을 수 있는 수준이며 미래 성장 가능성이 높은 기업으로 판단되어 기술평가등급 “A”를 제시한다. 평가기관 2 ㈜넥스트바이오메디컬(이하 '동사')는 2014
케이쓰리아이,2024-08-20,코스닥,기술평가특례,기술특례,하나증권주식회사,IT/소프트웨어,15500,217.0,1214.21,239.23,1.03,-53.9,-66.8,-69.4,"시 매출의 탑 수상 (100 억 ) 2023.12 산업통상자원부 장관 표창 「 가상 . 증강현실 산업 공로 」 2023.12 기술평가등급 획득(A, BBB) 2024.06 코스닥 상장 예비심사 승인 3. 자본금 변동"
이엔셀,2024-08-23,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,15300,239.72,1710.7,949.3,0.24,40.8,25.9,-33.2,력이 동종기업 대비 높고 기술환경변화에 제한 적으로 영향을 받을 수 있는 수준이며 미래 성장 가능성이 높은 기업으로 판단되어 기술평가등급 “A”를 제시한다. 주1) 2023년 06월 23일 기술평가결과서 수령시 당사
아이언디바이스,2024-09-23,코스닥,기술평가특례,기술특례,대신증권(주),반도체/디스플레이,7000,210.0,992.83,1152.85,3.34,-27.0,-45.4,-47.9,"2) 대표주관회사 : 김경순 본부장 , 김정헌 팀장 , 김경훈 과장 , 박상진 과장 3. 내용 (1) 상장예비심사신청을 위한 기술평가 등급수령 (NICE 평가정보 , 기술보증기금 ) (2) 사업계획에 따른 영업 진행"
셀비온,2024-10-16,코스닥,기술평가특례,기술특례,대신증권(주),바이오/헬스케어,15000,286.65,2009.45,1050.19,8.64,-12.7,22.5,18.1,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규 상장일이 속하는 사업연도"
루미르,2024-10-21,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),방산/우주항공,12000,288.0,2303.82,13.1,0.14,-5.8,-26.8,-25.9,동종기업 대비 높고 기술환경변화에 eogo 보통의 영향을 받을 수 있는 수준으로 미래 성장 가능성이 양호한 기업으로 판단되어 기술평가등급 “BBB”를 제시한다. 【전문평가의 평가항목 중 기술기반기업 평가사항】 구분 
씨메스,2024-10-24,코스닥,기술평가특례,기술특례,"유진투자증권(주),삼성증권(주)",기계/장비,30000,780.0,7800.0,577.59,1.0,-47.1,-12.5,3.7,", NICE평가정보로부터 ""3차원 검사 장비 및 고정밀 지능형 로봇자동화 솔루션""에 대해 평가받았으며, AA, BBB 등급의 기술평가 등급을 통보받았습니다. 그러나 이러한 전문기관의 기술평가 결과가 회사의 성장성과 "
웨이비스,2024-10-25,코스닥,기술평가특례,기술특례,대신증권(주),반도체/디스플레이,15000,223.5,2106.05,1159.89,0.01,-47.5,-40.3,-44.5,"~ 25년 12월) 2023.08~09 Series E 투자 146억원 유치 2023.10 상장예비심사 청구를 위한 KRX 기술평가 등급 A 획득 (한국평가데이터, 기술보증기금) 2024.07 김정곤 CEO 사임 ("
에이치이엠파마,2024-11-05,코스닥,기술평가특례,기술특례,신한투자증권 주식회사,바이오/헬스케어,23000,160.31,1669.02,1220.68,0.29,-43.5,-8.0,24.6,", 제품/서비스의 사업화 수준, 제품/서비스의 경쟁력을 감안 시 시장성은 보통 이상 수준으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 "
토모큐브,2024-11-07,코스닥,기술평가특례,기술특례,대신증권(주),기계/장비,16000,320.0,2143.42,967.71,0.14,-21.3,29.1,168.8,"며, 평가기관으로 한국산업기술평가관리원과 나이스평가정보를 지정받았습니다. 이후 2023년 12월 18일 동 기관들로부터 각각 기술평가등급 A등급 및 A등급을 취득하여 상장예비심사를 신청하였습니다. [ 전문평가기관의 "
에어레인,2024-11-08,코스닥,기술평가특례,기술특례,신영증권(주),기계/장비,23000,276.0,2477.8,1000.1,0.46,-53.2,-14.7,-20.4,"당사는 기술성장기업 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 5개 사업연도, 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 3개 사업연도에"
노머스,2024-11-12,코스닥,이익미실현,이익미실현,대신증권(주),엔터/미디어/게임,30200,341.26,3361.05,288.0,0.79,-34.9,-4.8,-19.5,"조 제1항 제2호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
닷밀,2024-11-13,코스닥,기술평가특례,일반,미래에셋증권 주식회사,엔터/미디어/게임,13000,156.0,1226.95,1082.35,0.22,-59.5,-48.2,-61.8,술특허 취득을 완료하였으며 실감미디어 시뮬레이터와 미디어 서버를 자체 기술로 개발 및 상용화를 완료하였습니다. 당사는 투자용 기술평가등급에서 '매우 우수한 기술력과 성장잠재력이 우수한 시장을 바탕으로 미래 성장가능성
온코크로스,2024-12-18,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,바이오/헬스케어,7300,103.88,924.69,635.05,0.0,7.8,74.1,59.6,당사는 코스닥시장 상장요건 중 전문평가 기관인 NICE평가정보와 한국산업기술기획평가원로부터 당사의 기술 등에 대한 평가를 받아 A등급 및 A등급을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술특례상장)
온코닉테라퓨틱스,2024-12-19,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,13000,201.5,1504.03,198.96,3.72,13.5,79.2,476.6,"당사는 코스닥시장 상장요건 중 전문평가 기관인 나이스평가정보와 한국발명진흥회로부터 당사의 기술 등에 대한 평가를 받아 2024년 1월 17일자로 1개사에게 A 등급, 다른 1개사에 BBB 등급을 취득하여 기술력과 성"
쓰리에이로직스,2024-12-24,코스닥,기술평가특례,기술특례,"신한투자증권 주식회사,미래에셋증권 주식회사",반도체/디스플레이,11000,204.31,1059.39,129.1,0.0,-44.5,-34.6,-43.8,"호하다. NFC 기술의 신규 수요처가 계속 발굴되고 있는 점을 고려할 때 제품/서비스 확장가능성이 있다고 보여진다. 종합적인 기술평가등급은 'A'로 의견 제시한다. (출처: 이크레더블, 한국기술신용평가) [전문평가의"
와이즈넛,2025-01-24,코스닥,기술평가특례,기술특례,삼성증권(주),IT/소프트웨어,17000,153.0,2238.98,64.85,0.32,-23.8,-16.9,-36.5,"재력, 제품/서비스의 사업화 수준, 제품/서비스의 경쟁력을 감안 시 시장성은 양호한 수준으로 판단됨. 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 "
데이원컴퍼니,2025-01-24,코스닥,이익미실현,이익미실현,"미래에셋증권 주식회사,삼성증권(주)",기타,13000,176.93,1813.58,114.98,0.0,-47.6,-52.5,-65.2,당사는 이익미실현 기업으로서 세전이익 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도(상장일부터 상장일이 속한 사업연도의 말일까지의 기간이 3월미만인 경우에는 그 다음 사업연도)에 대해서는 
아이지넷,2025-02-04,코스닥,성장성/사업모델,기술특례(성장성),한국투자증권(주),IT/소프트웨어,7000,140.0,1098.27,1138.59,0.4,-53.6,-59.9,-71.1,못한 상황으로 평판이 악화될 수 있으며 그로 인해 플랫폼 활성화 및 매출 성장 또한 둔화될 가능성이 있습니다. 회사위험 가. 기술성장기업(사업모델기업) 상장요건 적용 및 관리종목 지정 관련 위험 당사는 코스닥시장 상
아이에스티이,2025-02-12,코스닥,기술평가특례,기술특례,KB증권(주),반도체/디스플레이,11400,148.2,981.1,1148.16,1.69,10.1,-7.8,-4.8,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규 상장일이 속하는 사업연도"
오름테라퓨틱,2025-02-14,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,20000,500.0,4527.28,16.93,10.93,50.5,15.5,486.5,력이 동종기업 대비 다소 높고 기술환경변화에 보통의 영향을 받을 수 있는 수준이며 미래성장 가능성이 양호한 기업으로 판단되어 기술평가등급 “BBB”를 제시한다. 주1) 기술평결과서 수령시 당사는 Vertex사와의 계
엠디바이스,2025-03-07,코스닥,이익미실현,이익미실현,삼성증권(주),반도체/디스플레이,8350,105.21,1052.1,1366.65,4.9,9.2,26.7,221.6,"당사는 2023년 사업연도 당기순손실을 기록하였으며, 「코스닥시장 상장규정」 제28조 제1항 제2호에 따른 이익미실현기업 상장 요건(""테슬라 요건"")을 적용받"
심플랫폼,2025-03-21,코스닥,기술평가특례,기술특례,KB증권(주),IT/소프트웨어,15000,138.0,997.12,1213.84,0.31,7.5,-24.7,-46.7,"국평가데이터로부터 ""산업용 데이터 수집/분석/예측을 위한 AIoT 적용/운영 기술""에 대해 평가받았으며, A, BBB 등급의 기술평가 등급을 통보받았습니다. 그러나 이러한 전문기관의 기술평가 결과가 회사의 성장성과 "
쎄크,2025-04-28,코스닥,기술평가특례,기술특례,신영증권(주),기계/장비,15000,180.0,1323.83,1232.54,3.76,-14.1,-38.5,-5.5,"당사는 기술성장기업(혁신기술기업) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 5개 사업연도, 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 "
나우로보틱스,2025-05-08,코스닥,기술평가특례,기술특례,"대신증권(주),iM증권",기계/장비,6800,170.0,893.87,1394.96,13.59,305.1,255.1,245.6,"기술인 '첨단 로봇 정밀 제어 및 로봇 토탈 솔루션 기술'에 대하여 기술평가를 신청하였으며, 2024년 06월 19일 수령한 기술평가등급 A등급 이상의 결과를 기반으로 상장예비심사를 신청하였습니다. [ 전문평가기관의"
오가노이드사이언스,2025-05-09,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,21000,252.0,1165.29,1066.9,6.33,54.5,61.4,6.7,", 제품/서비스의 사업화 수준, 제품/서비스의 경쟁력을 감안 시 시장성은 보통 이상 수준으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 "
로킷헬스케어,2025-05-12,코스닥,기술평가특례,기술특례,SK증권(주),바이오/헬스케어,11000,171.6,1784.05,368.45,8.51,56.6,261.4,550.0,당사는 기술성장특례(기술성장기업) 적용 기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도(상장일부터 상장일이 속한 사업연도의 말일까지의 기간이 3개월 미만인 경우에는 그 다음
이뮨온시아,2025-05-19,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,3600,329.06,2297.15,897.45,8.22,50.3,58.9,58.9,"당사는 「코스닥시장 상장규정」제30조제1항에 의하여 상장되는 기술성장기업으로 동 규정 제53조(관리종목) 제1항제1호 및 제2호, 제54조(상장의 폐지) 제1항제3호 및 제4호에 따라 관리종목 지정과 상장폐지 요건 "
링크솔루션,2025-06-10,코스닥,기술평가특례,기술특례,신영증권(주),기계/장비,23000,207.0,1335.48,1159.43,1.83,-24.9,63.5,90.0,당사는 기술성장기업 특례 적용 기업(혁신기술기업)으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장일부터 상장일이 속한 사업연도의 말일까지의 기간이 3개월 미만인 경우에는 그 다음 사업연도)를 포함한 연속하
지씨지놈,2025-06-11,코스닥,기술평가특례,기술특례,삼성증권(주),바이오/헬스케어,10500,420.0,4200.0,,,-16.8,-25.8,-47.0,당사는 코스닥시장 상장요건 중 전문평가 기관인 한국평가데이터와 한국생명공학연구원로부터 당사의 기술 등에 대한 평가를 받아 A등급 및 A등급을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술특례상장)으로서
뉴엔AI,2025-07-04,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),IT/소프트웨어,15000,333.0,3330.0,,,108.7,14.7,-49.1,"평가정보와 기술보증기금의 기술평가, 현장실사 및 PT를 진행하였습니다. 2024년 09월 11일에 양 평가기관으로부터 획득한 기술평가등급은 각각 'A', 'A' 입니다. 평가기관 평가대상기술명 평가결과 평가기간 나이"
프로티나,2025-07-29,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,14000,210.0,1601.03,1199.2,8.11,11.0,495.0,,"당사는 「코스닥시장 상장규정」제30조제1항에 의하여 상장되는 기술성장기업으로 동 규정 제53조(관리종목) 제1항제1호 및 제2호, 제54조(상장의 폐지) 제1항제3호 및 제4호에 따라 관리종목 지정과 상장폐지 요건 "
아이티켐,2025-08-07,코스닥,이익미실현,이익미실현,KB증권(주),바이오/헬스케어,16100,322.0,2108.21,1157.98,23.83,21.3,126.7,,당사는 「코스닥시장 상장규정」상 이익미실현기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도(상장일부터 상장일이 속한 사업연도의 말일까지의 기간이 3월미만인 경우에는 그 다음 
지투지바이오,2025-08-14,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,바이오/헬스케어,58000,522.0,3241.71,810.6,15.64,186.0,345.1,,", 제품/서비스의 사업화 수준, 제품/서비스의 경쟁력을 감안 시 시장성은 보통 이상 수준으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 "
에스투더블유,2025-09-19,코스닥,기술평가특례,기술특례,대신증권(주),IT/소프트웨어,13200,208.56,1459.7,1145.4,22.86,56.4,10.0,,당사는 기술성장기업 특례 적용 기업(혁신기술기업)으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장일부터 상장일이 속한 사업연도의 말일까지의 기간이 3개월 미만인 경우에는 그 다음 사업연도)를 포함한 연속하
노타,2025-11-03,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,IT/소프트웨어,9100,265.36,1956.57,1058.2,59.75,385.7,294.0,,"장에 진입하였으나, 후발 주자들의 진입이 예상되며, 제품/서비스의 확장가능성이 있어 제품/서비스 경쟁력이 적정하다. 종합적인 기술평가등급은 'A'로 의견 제시한다. 출처: 나이스평가정보, 한국기술신용평가 당사는 한국"
큐리오시스,2025-11-13,코스닥,기술평가특례,기술특례,키움증권(주),기계/장비,22000,264.0,1692.21,1031.39,55.67,,146.4,,"당사는 「코스닥시장 상장규정」제30조제1항에 의하여 상장되는 기술성장기업으로 동 규정 제53조(관리종목) 제1항제1호 및 제2호, 제54조(상장의 폐지) 제1항제3호 및 제4호에 따라 관리종목 지정과 상장폐지 요건 "
그린광학,2025-11-17,코스닥,기술평가특례,기술특례,신영증권(주),기계/장비,16000,320.0,1872.41,962.34,65.43,13.2,76.2,,"증가한 자본금: 86,957,000원 / 총 자본금: 5,023,133,500원 2025.04 한국거래소 지정 전문평가기관 기술평가등급 수취 (한국산업기술기획평가원 A, 한국기술신용평가 A) 2025.06 유상증자("
비츠로넥스텍,2025-11-21,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),방산/우주항공,6900,303.6,1999.37,1015.93,29.76,46.4,122.2,,"이 동종기업 대비 다소 높고 기술환경변화에 보통의 영향을 받을 수 있는 수준이며 미래 성장 가능성이 양호한 기업으로 판단되어 기술평가등급 'BBB’를 제시한다. 출처: 한국산업기술진흥원, 이크레더블 당사는 한국거래소"
에임드바이오,2025-12-04,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,바이오/헬스케어,11000,707.3,7321.73,671.98,74.22,410.0,151.8,,"보유하고 있어, 이는 동사 플랫폼 기술과 일부 파트너십 체계를 통해 지속적인 상업화 가능성을 확보한 것으로 판단된다. 따라서 기술평가 등급 [A]의 의견을 제시한다. 평가기관2 A 동사는 항체-약물 접합체(ADC, "
테라뷰,2025-12-09,코스닥,기술평가특례,기술특례,,기계/장비,8000,400.0,4000.0,,,,,,"가기관인 이크레더블, 한국평가데이터로부터 ""테라헤르츠 전자기파 발생 및 응용 검사장비""에 대해 평가받았으며, A, A 등급의 기술평가 등급을 통보받았습니다. 그러나 이러한 전문기관의 기술평가 결과가 회사의 성장성과 "
이지스,2025-12-11,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),IT/소프트웨어,15000,225.0,1578.76,1109.86,6.31,-26.4,-69.7,,"당사는 「코스닥시장 상장규정」제30조제1항에 의하여 상장되는 기술성장기업으로 동 규정 제53조(관리종목) 제1항제1호 및 제2호, 제54조(상장의 폐지) 제1항제3호 및 제4호에 따라 관리종목 지정과 상장폐지 요건 "
쿼드메디슨,2025-12-12,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,15000,255.0,1763.16,1139.61,17.82,-11.1,-48.0,,"이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 수준이며 미래 성장가능성이 높은 것으로 판단되며, 이에 기술평가등급 ‘A’를 제시한다. 주1) 2025년 6월 5일 기술평가결과서 수령 시 당사는"
나라스페이스테크놀로지,2025-12-17,코스닥,기술평가특례,기술특례,삼성증권(주),방산/우주항공,16500,283.8,1942.8,879.08,5.53,85.8,28.5,,이 동종기업 대비 높고 기술환경변화에 대해 보통의 영향을 받을 수 잇는 수준으로 미래 성장 가능성이 양호한 기업으로 판단되어 기술평가등급 “BBB”를 제시한다. 주1) 2025년 3월 24일 기술평가결과서 수령시 당
