회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
퀀타매트릭스,2020-12-09,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,바이오/헬스케어,25500,435.29,61627.64,185.56,4.6,3.9,-47.5,-57.5,"Susceptibility test (신속 항균제 감수성 검사) 개시(진료코드 발급) 2019.12 코스닥시장 상장을 위한 기술평가등급 “A” 획득 (기술보증기금, 한국기업데이터) 3. 자본금 변동사항 &cr; 가."
엔젠바이오,2020-12-10,코스닥,기술평가특례,기술특례,삼성증권(주),바이오/헬스케어,14000,342.16,1910.35,1006.96,3.33,90.4,42.9,5.0,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
알체라,2020-12-21,코스닥,성장성/사업모델,기술특례(성장성),신영증권(주),IT/소프트웨어,10000,200.0,4000.0,1315.61,3.88,234.5,219.0,227.0,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
프리시젼바이오,2020-12-22,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,12500,187.5,1441.0,1231.23,1.62,108.4,28.0,-4.8,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2020년 10월 26일 상장예비심사 승인을 득"
석경에이티,2020-12-23,코스닥,기술평가특례,기술특례,한국투자증권(주),화학/소재,10000,100.0,545.5,1390.29,6.68,218.5,102.0,94.5,시장규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수
지놈앤컴퍼니,2020-12-23,코스닥,기술평가특례,기술특례,,바이오/헬스케어,,,,,,,,,시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 양호한 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 다소 영향을 받을 수는 있으나 우수한 기술력을 보유한 BBB 
엔비티,2021-01-21,코스닥,성장성/사업모델,기술특례,미래에셋증권 주식회사,기타,19000,158.08,1098.2,1425.3,10.7,23.9,40.8,44.5,"해서는 외부 전문평가기관(2개 기관)으로부터 사전에 사업모델평가를 받아야하며, 당사는 이크레더블과 나이스디앤비로부터 'KRX 사업평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아"
씨앤투스성진,2021-01-28,코스닥,이익미실현,이익미실현,미래에셋증권 주식회사,소비재/유통,32000,512.0,5120.0,1010.02,1.7,-36.1,-35.8,-35.2,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
레인보우로보틱스,2021-02-03,코스닥,기술평가특례,기술특례(성장성),"대신증권(주),미래에셋증권 주식회사",기계/장비,10000,265.0,1855.0,1489.9,19.9,135.5,119.5,139.0,모 및 성장잠재력 과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 
와이더플래닛,2021-02-03,코스닥,성장성/사업모델,기술특례,한국투자증권(주),IT/소프트웨어,16000,160.0,829.23,1449.22,9.59,53.1,59.4,7.2,"서는 외부 전문평가기관(2개 기관)으로부터 사전에 사업모델평가를 받아야하며, 당사는 이크레더블과 한국기업데이터로부터 'KRX 사업평가등급 A, A'를 득하였습니다. &cr; [ 전문평가기관의 종합의견 ] 구 분 평가"
피엔에이치테크,2021-02-16,코스닥,기술평가특례,기술특례,,화학/소재,,,,,,,,,"2 공통층재료 상용화 진행 2015.07 특허재료(정공수송층) 양산시작 2015.10 진천 공장 완공 및 가동 2015.11 기술평가등급 2곳 모두 ""A""획득(한국기업데어타 & 기술보증기금) 2016.04 기관투자유"
오로스테크놀로지,2021-02-24,코스닥,기술평가특례,일반,키움증권(주),반도체/디스플레이,21000,399.0,3990.0,1260.0,37.12,136.0,50.7,16.2,"규모 확충 및 글로벌화 역량 확보를 위한 노력이 필요&cr;&cr;- 상기의 평가결과를 종합하여 볼 때, ㈜오로스테크놀로지의 기술평가 등급은 높은 수준의 기술력을 가진 기업인 ""A"" 로 평가됨 나. 희망공모가 산정방"
씨이랩,2021-02-24,코스닥,기술평가특례,기술특례,,IT/소프트웨어,35000,227.5,2275.0,1371.37,12.97,12.3,299.7,31.7,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2020년 11월 26일 상장예비심사 승인을 득"
뷰노,2021-02-26,코스닥,기술평가특례,기술특례,"미래에셋증권 주식회사,삼성증권(주)",바이오/헬스케어,21000,378.0,3780.0,1457.21,23.8,27.9,14.3,-52.5,"며 국내외에서 매출이 발생하고 있다는 점, 그리고 의료 정보 관련 시장이 성장기에 있는 가능성이 큰 시장인 점 등을 감안하여 기술평가등급을 A로 평가함. 나이스디앤비 A 주식회사 뷰노 이하 동사 는 201 4 년 1"
나노씨엠에스,2021-03-09,코스닥,기술평가특례,기술특례,키움증권(주),화학/소재,20000,160.0,841.78,1295.75,6.65,-9.0,152.5,125.5,"면서, 우수한 기술력을 바탕으로 해외 적용시장 확대를 위해 적극적인 영업을 수행하고 있는 점을 고려하여 종합적으로 판단할 때 기술평가등급은 [A]로 평가됨 &cr;한편, 상장예비심사를 청구하는 기업의 유형별 외형요건"
프레스티지바이오로직스,2021-03-11,코스닥,성장성/사업모델,기술특례(성장성),"미래에셋증권 주식회사,유안타증권(주)",바이오/헬스케어,12400,911.4,9114.0,369.91,6.5,4.0,18.1,-41.2,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
