회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
큐로셀,2023-11-09,코스닥,"미래에셋증권 주식회사,삼성증권(주)",기술특례,기술평가특례,"원가경쟁력을 가질 수 있을 것으로 예상됨. 위와 같은 당사의 기술적 차별성과 경쟁력, 시장현황 등을 종합적으로 고려한 결과, 기술평가등급을 A 등급(높은 수준의 기술력을 가진 기업)으로 평가함. 기술보증기금 BBB 신청기업은 CAR-T 항암치료제의 주요 문제점("
비아이매트릭스,2023-11-09,코스닥,IBK투자증권(주),일반,일반,
메가터치,2023-11-09,코스닥,엔에이치투자증권(주),일반,일반,
컨텍,2023-11-09,코스닥,대신증권(주),기술특례,기술평가특례,"3차 기업실사 1. 장소: 주식회사 컨텍 회의실 2. 참석자: 신청회사, 대표주관회사 3. 내용 1) 상장예비심사신청을 위한 기술평가 등급수령(한국발명진흥회, 한국기업데이터) 2) 사업계획에 따른 영업 진행 현황 검토 3) 상장요건 충족을 위한 사전 준비사항 검토"
에스와이스틸텍,2023-11-13,코스닥,KB증권(주),일반,일반,
에이직랜드,2023-11-13,코스닥,삼성증권(주),일반,일반,
캡스톤파트너스,2023-11-15,코스닥,엔에이치투자증권(주),일반,일반,
프로젠,2023-11-15,코스닥,하나증권(주),(NULL),(문서없음),
에코프로머티,2023-11-17,유가증권,"미래에셋증권 주식회사,엔에이치투자증권(주)",일반,일반,
스톰테크,2023-11-20,코스닥,iM증권,일반,일반,
에코아이,2023-11-21,코스닥,KB증권(주),일반,일반,
동인기연,2023-11-21,유가증권,엔에이치투자증권(주),일반,일반,
그린리소스,2023-11-24,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,"일의 업체로서, 세계 식각 장비 부품 코팅 시장에서 세계 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨 이크레더블 BBB 동사는 도장 및 기타 피막처리업을 영위하는 직원 수 44명의 벤처기업(외감)이며, 평가대"
한선엔지니어링,2023-11-24,코스닥,대신증권(주),일반,일반,
에이에스텍,2023-11-28,코스닥,미래에셋증권 주식회사,일반,일반,
에이텀,2023-12-01,코스닥,하나증권주식회사,기술특례,기술평가특례,"매출 성장에 큰 효과가 있을 것으로 판단됨. 상술한 바와 같이, 동사의 기술적 차별성과 경쟁력, 시장현황을 종합하여, 동사의 기술평가등급을 A 등급(높은 수준의 기술력을 가진 기업)으로 평가함. [전문평가의 평가등급 체계 및 등급별 정의] 평가등급 등급별 정의"
