회사명,상장일,시장구분,트랙,판정근거,기존DB분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y
스마트레이더시스템,2023-08-22,코스닥,기술평가특례,body,기술특례,대신증권(주),자동차/모빌리티,8000,177.6,1776.0,1813.42,6.98,148.1,71.6,-10.1
시큐레터,2023-08-24,코스닥,기술평가특례,body,기술특례,대신증권(주),IT/소프트웨어,12000,160.07,734.12,1544.73,3.14,101.3,-21.7,
아이엠티,2023-10-10,코스닥,기술평가특례,body,기술특례,유안타증권(주),기계/장비,14000,221.2,2212.0,753.5,22.2,58.2,53.9,-30.9
퀄리타스반도체,2023-10-27,코스닥,기술평가특례,body,기술특례,한국투자증권(주),반도체/디스플레이,17000,306.0,5307.03,818.52,22.25,26.5,86.8,-40.6
큐로셀,2023-11-09,코스닥,기술평가특례,body,기술특례,"미래에셋증권 주식회사,삼성증권(주)",바이오/헬스케어,20000,320.0,1224.51,20.88,4.74,20.3,64.8,47.0
컨텍,2023-11-09,코스닥,기술평가특례,body,기술특례,대신증권(주),IT/소프트웨어,22500,463.5,3168.47,198.93,1.24,-31.1,-13.2,-55.4
그린리소스,2023-11-24,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),반도체/디스플레이,17000,278.8,2788.0,753.19,5.39,96.8,63.5,-22.6
에이텀,2023-12-01,코스닥,기술평가특례,body,기술특례,하나증권주식회사,기타,18000,117.0,1293.49,136.4,0.43,-1.9,-21.8,-67.4
와이바이오로직스,2023-12-05,코스닥,기술평가특례,body,기술특례,유안타증권(주),바이오/헬스케어,9000,135.0,1441.12,226.9,14.47,68.9,-2.2,-11.7
블루엠텍,2023-12-13,코스닥,이익미실현,peer,이익미실현,"키움증권(주),하나증권주식회사",소비재/유통,19000,266.0,2660.0,582.24,0.02,23.2,-30.5,-35.2
