회사명,상장일,시장구분,DB분류,growth,bizmodel,tech,noprofit,문서
대보마그네틱,2018-11-06,코스닥,일반,0,0,0,0,20181023000171.xml
셀리버리,2018-11-09,코스닥,기술특례(성장성),11,0,45,3,20181025000031.xml
노바렉스,2018-11-14,코스닥,일반,0,0,4,1,20181102000071.xml
디자인,2018-11-15,코스닥,일반,0,0,1,0,20181107000089.xml
아이엘사이언스,2018-11-16,코스닥,(NULL),0,0,0,0,
디케이앤디,2018-11-20,코스닥,일반,0,0,2,0,20181106000213.xml
아주IB투자,2018-11-21,코스닥,일반,0,0,3,5,20181109000388.xml
파멥신,2018-11-21,코스닥,일반,0,0,13,5,20181108000408.xml
싸이토젠,2018-11-22,코스닥,기술특례,0,0,14,0,20181112000316.xml
디알젬,2018-11-22,코스닥,일반,0,0,0,0,20181108000221.xml
아시아나IDT,2018-11-23,유가증권,일반,0,0,2,0,20181114000972.xml
나라소프트,2018-11-23,코스닥,(NULL),0,0,0,0,
티앤알바이오팹,2018-11-28,코스닥,기술특례,1,0,25,0,20181114000742.xml
네오펙트,2018-11-28,코스닥,일반,0,0,4,0,20181115000032.xml
에이펙스인텍,2018-11-28,코스닥,(NULL),0,0,0,0,
남화산업,2018-11-29,코스닥,일반,0,0,0,0,20181113000246.xml
티로보틱스,2018-11-29,코스닥,일반,0,0,4,0,20181116000182.xml
엠아이텍,2018-11-29,코스닥,일반,0,0,2,0,20181116000018.xml
윙입푸드,2018-11-30,코스닥,일반,0,0,2,6,20181119000018.xml
비엔에프코퍼레이션,2018-11-30,코스닥,(NULL),0,0,0,0,
베스파,2018-12-03,코스닥,일반,0,0,3,5,20181120000004.xml
에코캡,2018-12-05,코스닥,일반,0,0,2,0,20181115000119.xml
대유에이피,2018-12-07,코스닥,일반,0,0,3,0,20181126000391.xml
이노메트리,2018-12-12,코스닥,일반,0,0,2,6,20181130000313.xml
뉴트리,2018-12-13,코스닥,일반,0,0,1,5,20181130000026.xml
머큐리,2018-12-14,코스닥,일반,0,0,2,0,20181204000072.xml
전진바이오팜,2018-12-14,코스닥,기술특례,1,0,37,0,20181203000108.xml
에이비엘바이오,2018-12-19,코스닥,기술특례,0,0,15,0,20181210000345.xml
프로테옴텍,2018-12-19,코스닥,(NULL),1,0,51,7,20230605000257.xml
